LatentClasses C1 C2 C3 C4	
SizePercent 36 30 21 13 	 	 	 
1No.pain 0.09 0.53 0.00 0.01 
1Mild-moderate.pain 0.81 0.46 0.04 0.54 
1High.pain 0.11 0.01 0.96 0.45  	 	 	 	 
2No.pain 0.06 0.67 0.00 	0.01 
2Mild-moderate.pain 0.87 0.33 0.06 0.64 
2High.pain 0.07 	0.00 0.94 0.35  	 	 	 
3No.pain 0.09 0.74 0.00 0.00 
3Mild-moderate.pain 0.89 0.26 0.03 0.30 
3High.pain 0.02 0.00 0.97 0.70  	 	 	 	 
4No.pain 0.08 0.79 0.00 0.00 
4Mild-moderate.pain 0.91 0.21 0.02 0.40 
4High.pain 0.01 0.00 0.98 0.60 	 	 	 
5No.pain 0.10 0.85 0.00 0.01 
5Mild-moderate.pain 0.83 0.15 0.07 0.60 
5High.pain 0.07 0.00 0.93 0.39  	 	 	 	 
6No.pain 0.13 0.79 0.00 0.01 
6Mild-moderate.pain 0.79 0.21 0.01 0.52 
6High.pain 0.07 0.00 0.99 0.48 
