Simulation,SampleSize,2-AIC,3-AIC,4-AIC,5-AIC,6-AIC,2-CAIC,3-CAIC,4-CAIC,5-CAIC,6-CAIC,2-BIC,3-BIC,4-BIC,5-BIC,6-BIC,2-ABIC,3-ABIC,4-ABIC,5-ABIC,6-ABIC
Sim1,200,0,0,75,22,3,0,5,95,0,0,0,1,99,0,0,0,0,83,15,2
Sim1,500,0,0,68,27,5,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0
Sim1,1000,0,0,60,32,8,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0
Sim2,200,0,26,48,24,2,83,17,0,0,0,58,42,0,0,0,0,29,58,12,1
Sim2,500,0,2,67,27,4,6,83,11,0,0,1,72,27,0,0,0,12,88,0,0
Sim2,1000,0,0,62,33,5,0,26,74,0,0,0,12,88,0,0,0,0,100,0,0
Sim3,200,0,43,41,13,3,0,100,0,0,0,0,100,0,0,0,0,62,31,6,1
Sim3,500,0,32,41,17,6,0,100,0,0,0,0,100,0,0,0,0,99,1,0,0
Sim3,1000,0,31,45,17,6,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0
Sim4,200,0,5,67,24,3,2,97,1,0,0,0,92,8,0,0,0,7,76,15,2
Sim4,500,0,0,55,35,9,0,44,56,0,0,0,24,76,0,0,0,1,98,1,0
Sim4,1000,0,0,46,39,14,0,1,99,0,0,0,0,100,0,0,0,0,100,0,0
